,subject_term,housing,bikes,homelessness,dogs,parks,construction,traffic,transit,noise,energy,climate,infrastructure,safety,arts,childcare,democracy,cost of living,healthcare,equity,business,sports,youth,max_val,max_cat,frequency,log_frequency,count
10,Avenues,0.0012550301617011,0.0008267001830972,0.0001614439242985,0.0004863989015575,0.0002851154131349,0.0016328747151419,0.2001802325248718,0.0175428949296474,0.0004403334751259,0.0008583845337852,0.0005364996613934,0.939444899559021,0.4070583581924438,0.0009323367266915,0.0003308488230686,0.0039208140224218,0.0065573188476264,0.0004684315645135,0.0170828271657228,0.0071228020824491,0.0005037143127992,0.0865068882703781,0.939444899559021,infrastructure,1,0.0,1
11,Canadian National Exhibition,0.0001228793698828,0.0160054843872785,0.0002579521096777,0.0059715630486607,0.0002317600592505,0.000546398863662,0.0010372328106313,0.0025364586617797,0.0043319668620824,0.0333614759147167,0.0103321885690093,0.0007999390945769,0.0491964630782604,0.5110903382301331,0.0001347856596112,0.0104666734114289,0.0132299335673451,0.0003071022219955,0.109605498611927,0.0005422208923846,0.0009976094588637,0.1822982728481292,0.5110903382301331,arts,1,0.0,1
12,Centres,0.5408982038497925,0.0025801623705774,0.0008469914318993,0.0018355262000113,0.008177694864571,0.4770301580429077,0.0069883610121905,0.0045519494451582,0.0004541494126897,0.072459265589714,0.8672333359718323,0.9673281311988832,0.2713559865951538,0.1752893477678299,0.3016965687274933,0.0480033829808235,0.1737129092216491,0.521218478679657,0.3196465671062469,0.7629554271697998,0.0130576696246862,0.1397025138139724,0.9673281311988832,infrastructure,1,0.0,1
13,Exhibition Place,0.0002475580549798,0.0447114445269107,5.524620064534247e-05,0.0078881392255425,0.0002557479892857,0.0002659012679941,0.0003727146540768,0.0003239046491216,0.0001948219141922,0.0457691475749015,0.0018213097937405,0.0262491181492805,0.0003876285627484,0.8218402862548828,9.425406460650264e-05,0.0147814610973,0.0013338644057512,0.0028384416364133,0.1444298475980758,0.7318103909492493,0.0073069157078862,0.1412786245346069,0.8218402862548828,arts,1,0.0,1
14,First Nations,0.0383546128869056,0.0024614813737571,0.0012416678946465,0.0003900434821844,0.0044154562056064,0.0163879357278347,0.001734634512104,0.0532474964857101,0.0008524500299245,0.0241119861602783,0.0023431840818375,0.0193325821310281,0.093712069094181,0.0272466391324996,0.0047576762735843,0.0006736379582434,0.0528766699135303,0.0008202182943932,0.3110185265541076,0.0001106000199797,0.0037223428953438,0.0289975497871637,0.3110185265541076,equity,1,0.0,1
15,HIV,0.076931208372116,0.0001394843420712,0.0001629004691494,0.0002517169050406,0.0017682259203866,0.0013464513467624,0.0003382777213118,0.0248527079820632,0.0002350641007069,0.0002433506160741,0.0001241708523593,0.0004933925811201,0.0004536367487162,0.0003572544374037,0.000310483330395,5.517662430065684e-05,0.0003756803635042,0.1019367650151252,0.0002671792753972,0.0003856050316244,0.0001925506949191,0.1118497475981712,0.1118497475981712,youth,1,0.0,1
16,HIV/AIDS,0.0054729469120502,0.0001067350094672,0.0001126891656895,0.0001107938223867,0.0004325226473156,0.0003386326134204,0.0002086085878545,0.0057533429935574,0.0002203467156505,0.0001638139801798,8.823924872558564e-05,0.0002520968555472,0.0006197689217515,0.0001341293391305,7.487867696909234e-05,5.264341962174512e-05,0.000226641059271,0.0036394300404936,0.0004171259934082,0.0002286333910888,8.334645826835185e-05,0.2633349597454071,0.2633349597454071,youth,1,0.0,1
17,Master Plans,0.1023310869932174,0.0020452488679438,0.0002962473954539,0.0010898829204961,0.0592176020145416,0.0235082320868968,0.0067357858642935,0.0515403039753437,7.653230568394065e-05,0.0197263844311237,0.0167615003883838,0.1285062879323959,0.0251483712345361,0.2459923177957534,0.0013473592698574,0.0113095808774232,0.0077459360472857,0.0595308914780616,0.0461004823446273,0.7328506708145142,0.0020554796792566,0.0046135862357914,0.7328506708145142,business,1,0.0,1
18,Municipal Land Transfer Tax,0.0123041598126292,0.0003151280106976,0.0002391192974755,0.0004615575599018,0.0032169038895517,0.0040942602790892,0.0002979801793117,0.0007551509770564,0.0001304654579143,0.0001797879667719,0.0001869076368166,0.0014607103075832,0.0007591219036839,0.0001486726105213,6.23481028014794e-05,0.0027155834250152,0.0011859658407047,8.41896835481748e-05,0.0174604803323745,0.8057763576507568,0.0001276440161745,0.049395814538002,0.8057763576507568,business,1,0.0,1
19,Official Plans,0.2775864601135254,0.0246261749416589,0.0105589488521218,0.0053937570191919,0.1447194665670395,0.1158851459622383,0.0439163856208324,0.2325439155101776,0.0002706680679693,0.1984641402959823,0.1427024155855178,0.4171167612075805,0.1509057283401489,0.0962146148085594,0.0374392159283161,0.0575938262045383,0.1213507354259491,0.2525244057178497,0.1162888929247856,0.6005883812904358,0.0470065586268901,0.092363066971302,0.6005883812904358,business,1,0.0,1
20,Olympic Games,0.000194324995391,0.0037362701259553,4.0569422708358616e-05,0.000875087629538,0.000105310435174,0.0001520879741292,0.0001214163203258,0.0006657452322542,0.0001520855585113,0.015759227797389,0.0003027393249794,0.0003229349676985,0.0242106914520263,0.0013746278127655,4.4027987314620987e-05,0.000602824089583,0.0006496380083262,0.0001148443916463,0.0063891429454088,0.0001485239190515,0.991363286972046,0.08207269012928,0.991363286972046,sports,1,0.0,1
